Territories,Country,Value
Dutch colonies,German,0
Occupied Soviet Union,German,978000
UK colonies,German,0
French colonies,German,0
France,German,551000
Thailand,German,0
Poland,German,389000
Norway,German,323000
U.S. colonies,German,0
Yugoslavia,German,0
Baltic states,German,167000
Czechoslovakia,German,140000
Greece,German,0
Austria,German,84000
Denmark,German,43000
Netherlands,German,33000
Belgium,German,30000
Dutch colonies,Italian,0
Occupied Soviet Union,Italian,0
UK colonies,Italian,0
French colonies,Italian,0
France,Italian,0
Thailand,Italian,0
Poland,Italian,0
Norway,Italian,0
U.S. colonies,Italian,0
Yugoslavia,Italian,0
Baltic states,Italian,0
Czechoslovakia,Italian,0
Greece,Italian,130000
Austria,Italian,0
Denmark,Italian,0
Netherlands,Italian,0
Belgium,Italian,0
Dutch colonies,Japanese,1904000
Occupied Soviet Union,Japanese,0
UK colonies,Japanese,933000
French colonies,Japanese,740000
France,Japanese,0
Thailand,Japanese,0
Poland,Japanese,0
Norway,Japanese,0
U.S. colonies,Japanese,296000
Yugoslavia,Japanese,0
Baltic states,Japanese,0
Czechoslovakia,Japanese,0
Greece,Japanese,0
Austria,Japanese,0
Denmark,Japanese,0
Netherlands,Japanese,0
Belgium,Japanese,0
Dutch colonies,Other/puppet state,0
Occupied Soviet Union,Other/puppet state,0
UK colonies,Other/puppet state,0
French colonies,Other/puppet state,0
France,Other/puppet state,0
Thailand,Other/puppet state,518000
Poland,Other/puppet state,0
Norway,Other/puppet state,0
U.S. colonies,Other/puppet state,0
Yugoslavia,Other/puppet state,248000
Baltic states,Other/puppet state,0
Czechoslovakia,Other/puppet state,0
Greece,Other/puppet state,0
Austria,Other/puppet state,0
Denmark,Other/puppet state,0
Netherlands,Other/puppet state,0
Belgium,Other/puppet state,0
