Country,Category,Value
Soviet Union,Allied,34476000
United States,Allied,16354000
China,Allied,14000000
Great Britain,Allied,5896000
France,Allied,5000000
India,Allied,2581000
Poland,Allied,2000000
Yugoslavia,Allied,1500000
Canada,Allied,1100000
Australia,Allied,1000000
Other Allied,Allied,620000
Belgium,Allied,600000
Greece,Allied,540000
Netherlands,Allied,400000
South Africa,Allied,330000
New Zealand,Allied,204000
Norway,Allied,90000
Germany,Axis,18100000
Italy,Axis,9100000
Japan,Axis,9100000
Romania,Axis,2000000
Finland,Axis,650000
Hungary,Axis,600000
Bulgaria,Axis,450000
Croatia,Axis,200000
Manchukuo,Axis,200000
Slovakia,Axis,80000
